IDHORARIO,DURACION,IDSERVICIO,FECHAINICIO,DIA,HORAINICIO,HORAFIN,FECHAFIN
122444,,17,26/09/2019,,4,21,27/09/2019
122445,,13,04/02/2019,,8,23,05/02/2019
122446,,22,12/05/2019,,18,19,12/05/2019
122447,,15,28/01/2019,,10,23,29/01/2019
122448,,17,11/03/2019,,6,13,12/03/2019
122449,,5,15/03/2019,,1,3,16/03/2019
122450,,8,11/07/2019,,16,13,11/07/2019
122451,,4,11/02/2019,,21,11,12/02/2019
122452,,22,11/12/2019,,17,19,12/12/2019
122453,,8,12/01/2019,,20,18,13/01/2019
122454,,8,20/02/2019,,19,24,21/02/2019
122455,,15,31/03/2019,,0,24,01/04/2019
122456,,22,19/02/2019,,20,8,19/02/2019
122457,,15,30/05/2019,,3,22,31/05/2019
122458,,20,22/04/2019,,12,3,23/04/2019
122459,,15,23/04/2019,,9,24,23/04/2019
122460,,12,07/05/2019,,23,19,07/05/2019
122461,,11,18/09/2019,,23,9,19/09/2019
122462,,8,05/07/2019,,7,13,05/07/2019
122463,,4,20/03/2019,,22,20,20/03/2019
122464,,12,22/04/2019,,19,14,22/04/2019
122465,,20,14/04/2019,,15,20,14/04/2019
122466,,22,15/05/2019,,13,12,16/05/2019
122467,,22,01/06/2019,,15,19,01/06/2019
122468,,17,11/12/2019,,3,20,12/12/2019
122469,,14,06/05/2019,,7,23,07/05/2019
122470,,14,09/03/2019,,18,24,10/03/2019
122471,,20,08/10/2019,,0,21,08/10/2019
122472,,17,01/02/2019,,19,22,01/02/2019
122473,,15,16/07/2019,,10,15,17/07/2019
122474,,13,01/08/2019,,8,16,02/08/2019
122475,,5,30/11/2019,,8,17,01/12/2019
122476,,11,03/10/2019,,1,22,03/10/2019
122477,,8,02/03/2019,,22,22,03/03/2019
122478,,5,06/05/2019,,21,5,06/05/2019
122479,,22,30/04/2019,,0,23,01/05/2019
122480,,14,03/03/2019,,5,20,03/03/2019
122481,,12,03/11/2019,,13,23,04/11/2019
122482,,11,05/07/2019,,2,21,06/07/2019
122483,,18,08/11/2019,,1,5,08/11/2019
122484,,5,19/01/2019,,2,20,19/01/2019
122485,,4,14/03/2019,,22,14,15/03/2019
122486,,12,15/04/2019,,7,21,16/04/2019
122487,,8,22/07/2019,,9,22,22/07/2019
122488,,18,03/10/2019,,4,22,03/10/2019
122489,,22,28/06/2019,,17,21,29/06/2019
122490,,14,05/09/2019,,22,24,05/09/2019
122491,,4,27/03/2019,,19,11,28/03/2019
122492,,17,13/04/2019,,16,9,13/04/2019
122493,,5,29/05/2019,,7,18,30/05/2019
122494,,13,12/10/2019,,10,0,13/10/2019
122495,,14,04/10/2019,,8,10,04/10/2019
122496,,17,24/03/2019,,19,12,25/03/2019
122497,,17,12/12/2019,,14,19,12/12/2019
122498,,4,26/04/2019,,6,16,27/04/2019
122499,,17,18/02/2019,,5,3,19/02/2019
122500,,13,03/06/2019,,13,17,03/06/2019
122501,,15,26/09/2019,,18,23,26/09/2019
122502,,13,10/09/2019,,13,22,11/09/2019
122503,,22,20/12/2019,,20,23,20/12/2019
122504,,18,25/08/2019,,8,24,25/08/2019
122505,,13,13/06/2019,,7,24,14/06/2019
122506,,4,20/03/2019,,11,16,20/03/2019
122507,,8,08/11/2019,,7,23,09/11/2019
122508,,20,18/01/2019,,7,16,19/01/2019
122509,,14,04/01/2020,,11,13,04/01/2020
122510,,14,25/11/2019,,4,20,25/11/2019
122511,,15,01/02/2019,,1,19,01/02/2019
122512,,17,03/08/2019,,0,5,04/08/2019
122513,,11,20/03/2019,,0,14,21/03/2019
122514,,4,03/04/2019,,3,13,03/04/2019
122515,,4,16/01/2019,,16,22,16/01/2019
122516,,14,09/02/2019,,10,24,09/02/2019
122517,,20,18/09/2019,,8,11,18/09/2019
122518,,17,08/01/2019,,4,10,09/01/2019
122519,,17,13/12/2019,,17,23,14/12/2019
122520,,14,11/06/2019,,8,21,11/06/2019
122521,,5,29/06/2019,,5,23,29/06/2019
122522,,5,10/08/2019,,0,11,10/08/2019
122523,,12,30/05/2019,,3,19,31/05/2019
122524,,17,08/01/2019,,7,20,08/01/2019
122525,,18,21/10/2019,,5,24,21/10/2019
122526,,13,05/02/2019,,21,21,05/02/2019
122527,,20,11/09/2019,,0,21,12/09/2019
122528,,4,11/10/2019,,9,17,12/10/2019
122529,,20,22/06/2019,,9,7,23/06/2019
122530,,11,26/09/2019,,1,1,27/09/2019
122531,,14,05/11/2019,,2,22,05/11/2019
122532,,22,13/01/2019,,14,21,13/01/2019
122533,,18,28/02/2019,,12,15,01/03/2019
122534,,11,03/05/2019,,7,10,03/05/2019
122535,,20,01/07/2019,,4,22,01/07/2019
122536,,14,04/04/2019,,9,20,04/04/2019
122537,,13,28/09/2019,,16,12,28/09/2019
122538,,13,11/05/2019,,17,14,12/05/2019
122539,,18,01/04/2019,,11,23,02/04/2019
122540,,11,19/06/2019,,19,23,19/06/2019
122541,,8,18/12/2019,,0,24,18/12/2019
122542,,18,31/01/2019,,11,16,01/02/2019
122543,,13,23/03/2019,,21,21,24/03/2019
122544,,12,23/11/2019,,9,23,24/11/2019
122545,,8,26/06/2019,,17,23,27/06/2019
122546,,22,07/06/2019,,4,11,07/06/2019
122547,,18,12/04/2019,,16,17,12/04/2019
122548,,14,19/02/2019,,10,6,19/02/2019
122549,,8,25/11/2019,,23,22,25/11/2019
122550,,20,05/01/2019,,2,22,06/01/2019
122551,,8,09/05/2019,,17,22,10/05/2019
122552,,5,08/05/2019,,18,13,08/05/2019
122553,,22,18/09/2019,,21,20,18/09/2019
122554,,20,26/02/2019,,17,17,26/02/2019
122555,,4,06/11/2019,,21,23,07/11/2019
122556,,17,28/05/2019,,3,18,28/05/2019
122557,,17,05/01/2019,,14,23,05/01/2019
122558,,18,30/05/2019,,10,18,31/05/2019
122559,,14,03/02/2019,,5,12,03/02/2019
122560,,4,04/05/2019,,13,17,04/05/2019
122561,,18,17/01/2019,,14,18,18/01/2019
122562,,14,28/03/2019,,8,9,28/03/2019
122563,,13,05/03/2019,,10,23,05/03/2019
122564,,17,03/09/2019,,4,24,04/09/2019
122565,,20,16/12/2019,,10,21,17/12/2019
122566,,4,23/09/2019,,19,8,24/09/2019
122567,,4,20/09/2019,,14,22,21/09/2019
122568,,5,06/09/2019,,19,15,07/09/2019
122569,,5,04/05/2019,,17,15,05/05/2019
122570,,13,20/04/2019,,6,24,21/04/2019
122571,,11,11/06/2019,,11,20,11/06/2019
122572,,17,02/11/2019,,8,22,03/11/2019
122573,,11,24/09/2019,,16,9,24/09/2019
122574,,20,23/08/2019,,7,23,24/08/2019
122575,,12,22/12/2019,,17,24,22/12/2019
122576,,18,13/05/2019,,4,23,14/05/2019
122577,,4,09/07/2019,,16,19,10/07/2019
122578,,22,30/08/2019,,14,14,30/08/2019
122579,,13,06/06/2019,,20,17,07/06/2019
122580,,22,01/03/2019,,7,22,01/03/2019
122581,,17,29/06/2019,,5,5,30/06/2019
122582,,5,21/04/2019,,22,18,21/04/2019
122583,,13,12/04/2019,,6,19,12/04/2019
122584,,17,01/01/2020,,9,15,02/01/2020
122585,,20,21/04/2019,,3,19,21/04/2019
122586,,17,10/11/2019,,10,16,10/11/2019
122587,,22,13/08/2019,,4,20,14/08/2019
122588,,22,21/06/2019,,18,19,22/06/2019
122589,,20,09/05/2019,,7,10,09/05/2019
122590,,22,16/03/2019,,0,16,17/03/2019
122591,,22,20/11/2019,,21,24,21/11/2019
122592,,18,28/03/2019,,11,20,28/03/2019
122593,,13,04/03/2019,,14,23,05/03/2019
122594,,13,14/02/2019,,11,7,15/02/2019
122595,,12,11/05/2019,,7,17,12/05/2019
122596,,4,08/11/2019,,4,11,09/11/2019
122597,,18,10/08/2019,,1,19,11/08/2019
122598,,4,01/04/2019,,9,19,02/04/2019
122599,,14,30/01/2019,,19,24,31/01/2019
122600,,13,07/07/2019,,17,3,08/07/2019
122601,,18,29/08/2019,,20,24,29/08/2019
122602,,5,05/02/2019,,22,16,05/02/2019
122603,,12,04/07/2019,,2,14,04/07/2019
122604,,15,11/01/2019,,22,24,12/01/2019
122605,,22,08/05/2019,,14,22,08/05/2019
122606,,12,11/09/2019,,17,13,12/09/2019
122607,,15,13/12/2019,,14,8,13/12/2019
122608,,18,28/12/2019,,6,10,28/12/2019
122609,,18,25/07/2019,,5,16,26/07/2019
122610,,17,17/02/2019,,15,23,18/02/2019
122611,,11,05/03/2019,,4,22,06/03/2019
122612,,13,12/06/2019,,20,13,13/06/2019
122613,,14,31/01/2019,,19,17,31/01/2019
122614,,13,26/11/2019,,10,15,27/11/2019
122615,,11,25/12/2019,,13,8,25/12/2019
122616,,14,18/03/2019,,1,20,18/03/2019
122617,,15,28/02/2019,,22,24,28/02/2019
122618,,12,26/08/2019,,11,9,27/08/2019
122619,,17,03/04/2019,,4,23,03/04/2019
122620,,20,28/07/2019,,15,24,28/07/2019
122621,,14,13/09/2019,,9,24,13/09/2019
122622,,15,22/03/2019,,19,8,22/03/2019
122623,,22,22/08/2019,,20,20,22/08/2019
122624,,22,19/01/2019,,16,18,19/01/2019
122625,,12,04/09/2019,,10,13,05/09/2019
122626,,15,23/04/2019,,13,8,24/04/2019
122627,,17,15/08/2019,,16,18,15/08/2019
122628,,5,16/09/2019,,14,20,17/09/2019
122629,,17,23/01/2019,,1,17,23/01/2019
122630,,5,24/05/2019,,4,21,25/05/2019
122631,,8,25/11/2019,,12,12,25/11/2019
122632,,12,09/09/2019,,13,22,09/09/2019
122633,,8,11/11/2019,,22,21,12/11/2019
122634,,13,29/03/2019,,18,23,30/03/2019
122635,,14,03/07/2019,,1,20,04/07/2019
122636,,17,29/12/2019,,11,10,30/12/2019
122637,,13,06/01/2020,,17,16,06/01/2020
122638,,17,11/03/2019,,20,17,11/03/2019
122639,,22,10/02/2019,,16,24,11/02/2019
122640,,11,22/01/2019,,15,10,23/01/2019
122641,,14,07/06/2019,,0,23,08/06/2019
122642,,13,09/10/2019,,3,22,10/10/2019
122643,,4,12/09/2019,,5,12,13/09/2019
122644,,8,08/01/2019,,7,22,09/01/2019
122645,,13,25/08/2019,,16,21,26/08/2019
122646,,8,15/03/2019,,21,11,15/03/2019
122647,,11,03/03/2019,,16,22,04/03/2019
122648,,20,25/03/2019,,17,10,25/03/2019
122649,,8,26/05/2019,,10,17,26/05/2019
122650,,5,02/11/2019,,14,21,02/11/2019
122651,,5,11/02/2019,,1,14,11/02/2019
122652,,18,20/09/2019,,4,24,20/09/2019
122653,,4,07/04/2019,,10,23,07/04/2019
122654,,18,18/08/2019,,20,19,19/08/2019
122655,,18,02/09/2019,,15,24,03/09/2019
122656,,15,11/08/2019,,14,15,12/08/2019
122657,,14,08/05/2019,,4,24,08/05/2019
122658,,18,10/07/2019,,5,2,11/07/2019
122659,,4,03/06/2019,,5,20,04/06/2019
122660,,4,30/05/2019,,14,11,30/05/2019
122661,,11,28/11/2019,,7,14,29/11/2019
122662,,5,05/12/2019,,8,15,05/12/2019
122663,,11,03/08/2019,,12,23,04/08/2019
122664,,18,18/11/2019,,7,24,18/11/2019
122665,,20,03/07/2019,,9,16,04/07/2019
122666,,14,04/03/2019,,13,24,05/03/2019
122667,,12,07/04/2019,,8,24,08/04/2019
122668,,8,04/06/2019,,14,24,04/06/2019
122669,,18,05/11/2019,,15,24,05/11/2019
122670,,15,02/05/2019,,12,24,03/05/2019
122671,,15,03/07/2019,,5,23,04/07/2019
122672,,12,07/01/2019,,11,16,08/01/2019
122673,,4,17/03/2019,,12,23,17/03/2019
122674,,20,19/10/2019,,20,23,20/10/2019
122675,,18,30/09/2019,,8,17,01/10/2019
122676,,8,15/01/2019,,8,23,16/01/2019
122677,,18,11/08/2019,,13,24,11/08/2019
122678,,13,22/05/2019,,22,24,22/05/2019
122679,,22,09/08/2019,,13,23,09/08/2019
122680,,4,26/08/2019,,23,23,27/08/2019
122681,,13,21/10/2019,,0,19,21/10/2019
122682,,8,23/09/2019,,13,20,23/09/2019
122683,,17,29/04/2019,,3,21,30/04/2019
122684,,4,23/12/2019,,11,24,23/12/2019
122685,,12,12/12/2019,,3,14,12/12/2019
122686,,11,13/05/2019,,16,20,13/05/2019
122687,,12,27/02/2019,,13,17,28/02/2019
122688,,12,08/05/2019,,23,16,09/05/2019
122689,,13,16/08/2019,,5,18,17/08/2019
122690,,18,15/09/2019,,6,24,16/09/2019
122691,,13,03/12/2019,,19,18,03/12/2019
122692,,14,27/05/2019,,15,21,28/05/2019
122693,,5,07/11/2019,,15,21,07/11/2019
122694,,14,03/10/2019,,7,12,04/10/2019
122695,,12,17/09/2019,,5,19,17/09/2019
122696,,12,07/05/2019,,4,23,08/05/2019
122697,,11,17/05/2019,,23,23,17/05/2019
122698,,20,11/09/2019,,16,6,12/09/2019
122699,,12,21/03/2019,,16,24,21/03/2019
122700,,18,04/04/2019,,7,17,04/04/2019
122701,,15,19/06/2019,,12,17,19/06/2019
122702,,5,17/10/2019,,12,9,17/10/2019
122703,,11,15/02/2019,,9,20,15/02/2019
122704,,17,05/07/2019,,12,19,06/07/2019
122705,,8,01/02/2019,,7,23,01/02/2019
122706,,5,22/10/2019,,11,11,23/10/2019
122707,,17,07/08/2019,,15,18,07/08/2019
122708,,20,09/05/2019,,7,18,10/05/2019
122709,,22,01/08/2019,,14,17,02/08/2019
122710,,14,07/04/2019,,15,13,08/04/2019
122711,,14,16/06/2019,,16,22,16/06/2019
122712,,20,08/05/2019,,8,19,09/05/2019
122713,,5,26/04/2019,,10,19,26/04/2019
122714,,17,17/09/2019,,11,13,17/09/2019
122715,,18,11/07/2019,,15,19,12/07/2019
122716,,22,20/06/2019,,0,16,20/06/2019
122717,,8,22/04/2019,,9,23,23/04/2019
122718,,15,06/04/2019,,6,9,06/04/2019
122719,,17,13/06/2019,,21,23,14/06/2019
122720,,22,06/07/2019,,9,21,06/07/2019
122721,,13,27/02/2019,,19,21,28/02/2019
122722,,4,16/11/2019,,4,24,17/11/2019
122723,,20,18/06/2019,,16,11,18/06/2019
122724,,5,26/11/2019,,21,23,27/11/2019
122725,,4,01/09/2019,,5,18,02/09/2019
122726,,15,12/02/2019,,23,23,12/02/2019
122727,,5,04/11/2019,,6,7,04/11/2019
122728,,4,04/05/2019,,14,9,04/05/2019
122729,,15,03/09/2019,,23,13,04/09/2019
122730,,14,10/08/2019,,17,23,10/08/2019
122731,,20,30/06/2019,,3,14,30/06/2019
122732,,17,24/03/2019,,19,24,25/03/2019
122733,,13,22/06/2019,,1,23,22/06/2019
122734,,11,03/09/2019,,17,23,04/09/2019
122735,,11,25/01/2019,,22,20,25/01/2019
122736,,14,10/05/2019,,2,22,10/05/2019
122737,,5,24/05/2019,,9,14,25/05/2019
122738,,20,22/02/2019,,11,23,23/02/2019
122739,,13,28/05/2019,,14,15,29/05/2019
122740,,5,16/01/2019,,5,22,16/01/2019
122741,,4,09/03/2019,,23,22,09/03/2019
122742,,12,10/08/2019,,9,24,11/08/2019
122743,,8,30/08/2019,,3,19,31/08/2019
122744,,4,21/06/2019,,10,9,21/06/2019
122745,,22,03/07/2019,,12,24,04/07/2019
122746,,4,08/08/2019,,6,24,09/08/2019
122747,,14,27/06/2019,,10,10,28/06/2019
122748,,22,05/12/2019,,6,24,06/12/2019
122749,,11,15/08/2019,,23,23,16/08/2019
122750,,22,27/01/2019,,18,11,28/01/2019
122751,,13,07/04/2019,,12,15,08/04/2019
122752,,18,16/11/2019,,5,16,16/11/2019
122753,,22,06/11/2019,,18,20,06/11/2019
122754,,5,23/10/2019,,20,19,23/10/2019
122755,,11,19/06/2019,,2,23,20/06/2019
122756,,22,17/09/2019,,6,24,18/09/2019
122757,,13,29/12/2019,,8,12,30/12/2019
122758,,13,20/09/2019,,20,10,20/09/2019
122759,,4,09/11/2019,,1,14,09/11/2019
122760,,11,21/04/2019,,10,21,22/04/2019
122761,,14,15/09/2019,,4,18,15/09/2019
122762,,20,01/02/2019,,11,22,02/02/2019
122763,,5,07/10/2019,,8,21,07/10/2019
122764,,5,02/02/2019,,1,19,03/02/2019
122765,,17,12/08/2019,,16,20,12/08/2019
122766,,4,31/12/2019,,16,23,31/12/2019
122767,,18,24/07/2019,,8,19,25/07/2019
122768,,8,04/04/2019,,16,22,05/04/2019
122769,,5,25/06/2019,,2,17,25/06/2019
122770,,22,30/03/2019,,22,24,30/03/2019
122771,,20,22/03/2019,,5,22,23/03/2019
122772,,15,30/03/2019,,16,17,31/03/2019
122773,,14,21/09/2019,,8,14,22/09/2019
122774,,5,20/02/2019,,11,17,20/02/2019
122775,,8,16/02/2019,,20,11,16/02/2019
122776,,20,17/02/2019,,5,22,17/02/2019
122777,,17,05/09/2019,,2,19,05/09/2019
122778,,5,16/11/2019,,14,19,16/11/2019
122779,,4,18/07/2019,,7,23,18/07/2019
122780,,5,31/05/2019,,19,23,01/06/2019
122781,,8,12/03/2019,,20,10,12/03/2019
122782,,13,28/03/2019,,1,18,28/03/2019
122783,,18,30/12/2019,,10,21,30/12/2019
122784,,15,05/09/2019,,17,24,05/09/2019
122785,,13,13/03/2019,,1,5,14/03/2019
122786,,4,04/08/2019,,17,4,04/08/2019
122787,,5,24/12/2019,,1,24,24/12/2019
122788,,14,26/10/2019,,20,19,26/10/2019
122789,,20,28/11/2019,,14,24,29/11/2019
122790,,20,08/02/2019,,2,5,09/02/2019
122791,,11,09/02/2019,,19,22,10/02/2019
122792,,8,17/10/2019,,18,8,17/10/2019
122793,,5,13/01/2019,,1,24,14/01/2019
122794,,13,25/06/2019,,0,20,26/06/2019
122795,,8,06/05/2019,,10,18,07/05/2019
122796,,14,11/05/2019,,20,19,12/05/2019
122797,,15,23/04/2019,,15,3,24/04/2019
122798,,17,20/04/2019,,13,12,21/04/2019
122799,,13,15/01/2019,,15,13,16/01/2019
122800,,14,30/05/2019,,0,23,31/05/2019
122801,,17,25/08/2019,,9,19,25/08/2019
122802,,20,25/06/2019,,18,6,25/06/2019
122803,,18,07/06/2019,,18,22,07/06/2019
122804,,15,13/06/2019,,8,24,14/06/2019
122805,,15,15/10/2019,,16,24,16/10/2019
122806,,20,09/01/2019,,13,21,09/01/2019
122807,,11,07/11/2019,,19,21,07/11/2019
122808,,11,06/07/2019,,18,19,06/07/2019
122809,,11,04/07/2019,,7,20,05/07/2019
122810,,22,24/04/2019,,12,20,25/04/2019
122811,,22,08/02/2019,,18,18,09/02/2019
122812,,12,12/07/2019,,16,24,12/07/2019
122813,,4,03/03/2019,,7,22,04/03/2019
122814,,18,28/11/2019,,17,10,28/11/2019
122815,,15,01/08/2019,,8,24,01/08/2019
122816,,8,14/06/2019,,21,8,15/06/2019
122817,,8,19/01/2019,,19,19,20/01/2019
122818,,13,23/01/2019,,0,10,23/01/2019
122819,,8,01/07/2019,,8,16,01/07/2019
122820,,13,15/04/2019,,14,9,15/04/2019
122821,,20,11/02/2019,,1,22,12/02/2019
122822,,22,31/08/2019,,8,12,01/09/2019
122823,,22,29/06/2019,,4,7,29/06/2019
122824,,22,07/09/2019,,15,24,07/09/2019
122825,,13,20/11/2019,,3,12,20/11/2019
122826,,18,28/11/2019,,12,23,29/11/2019
122827,,4,20/11/2019,,14,20,20/11/2019
122828,,17,20/11/2019,,16,15,21/11/2019
122829,,8,06/12/2019,,3,22,07/12/2019
122830,,22,30/03/2019,,4,22,31/03/2019
122831,,12,23/01/2019,,6,11,23/01/2019
122832,,4,23/12/2019,,15,12,24/12/2019
122833,,5,16/04/2019,,7,22,16/04/2019
122834,,14,02/09/2019,,18,15,03/09/2019
122835,,11,18/07/2019,,21,0,18/07/2019
122836,,18,03/06/2019,,13,20,04/06/2019
122837,,22,08/08/2019,,17,24,09/08/2019
122838,,5,20/04/2019,,6,23,20/04/2019
122839,,12,16/05/2019,,7,24,17/05/2019
122840,,15,07/09/2019,,23,17,07/09/2019
122841,,18,22/06/2019,,12,24,22/06/2019
122842,,12,09/02/2019,,3,17,09/02/2019
122843,,11,28/07/2019,,16,23,28/07/2019
122844,,11,09/06/2019,,3,10,10/06/2019
122845,,15,01/02/2019,,7,19,02/02/2019
122846,,13,07/11/2019,,0,8,08/11/2019
122847,,11,27/05/2019,,6,12,27/05/2019
122848,,8,20/04/2019,,17,11,20/04/2019
122849,,20,05/07/2019,,12,9,05/07/2019
122850,,20,15/03/2019,,12,6,15/03/2019
122851,,4,23/08/2019,,16,14,23/08/2019
122852,,12,28/03/2019,,23,24,29/03/2019
122853,,14,29/03/2019,,7,22,30/03/2019
122854,,12,23/02/2019,,16,24,24/02/2019
122855,,17,15/01/2019,,8,20,15/01/2019
122856,,17,31/05/2019,,12,22,31/05/2019
122857,,22,21/11/2019,,14,12,21/11/2019
122858,,14,06/09/2019,,17,4,06/09/2019
122859,,18,18/03/2019,,4,24,18/03/2019
122860,,5,10/03/2019,,3,24,10/03/2019
122861,,20,16/06/2019,,17,24,16/06/2019
122862,,12,09/12/2019,,5,10,09/12/2019
122863,,22,26/02/2019,,20,24,26/02/2019
122864,,11,12/10/2019,,20,23,12/10/2019
122865,,14,14/06/2019,,3,8,14/06/2019
122866,,15,24/07/2019,,1,9,25/07/2019
122867,,15,27/08/2019,,21,24,28/08/2019
122868,,20,01/04/2019,,15,18,02/04/2019
122869,,5,17/04/2019,,17,17,17/04/2019
122870,,17,10/05/2019,,15,20,11/05/2019
122871,,17,16/03/2019,,13,16,16/03/2019
122872,,22,05/06/2019,,13,22,05/06/2019
122873,,22,02/12/2019,,6,23,02/12/2019
122874,,15,30/01/2019,,20,24,31/01/2019
122875,,4,24/05/2019,,6,23,24/05/2019
122876,,15,17/10/2019,,17,8,17/10/2019
122877,,20,01/05/2019,,8,18,01/05/2019
122878,,8,10/01/2019,,19,23,11/01/2019
122879,,4,17/09/2019,,16,21,18/09/2019
122880,,11,03/11/2019,,1,24,04/11/2019
122881,,5,22/12/2019,,15,17,22/12/2019
122882,,4,02/12/2019,,16,14,03/12/2019
122883,,17,31/03/2019,,19,19,31/03/2019
122884,,14,10/08/2019,,9,24,11/08/2019
122885,,12,19/10/2019,,0,10,19/10/2019
122886,,22,21/11/2019,,0,19,22/11/2019
122887,,8,05/01/2019,,9,24,06/01/2019
122888,,13,17/12/2019,,20,11,17/12/2019
122889,,17,28/04/2019,,15,20,29/04/2019
122890,,4,27/03/2019,,6,7,27/03/2019
122891,,8,14/08/2019,,2,14,14/08/2019
122892,,12,09/12/2019,,21,13,09/12/2019
122893,,13,18/06/2019,,5,22,18/06/2019
122894,,11,09/12/2019,,16,13,09/12/2019
122895,,17,22/10/2019,,7,21,22/10/2019
122896,,17,25/02/2019,,8,6,25/02/2019
122897,,14,29/06/2019,,13,9,29/06/2019
122898,,4,23/12/2019,,12,21,23/12/2019
122899,,4,17/03/2019,,18,22,18/03/2019
122900,,17,30/05/2019,,11,14,31/05/2019
122901,,5,29/11/2019,,5,19,29/11/2019
122902,,8,24/01/2019,,1,21,24/01/2019
122903,,4,07/12/2019,,23,12,08/12/2019
122904,,18,07/10/2019,,18,20,07/10/2019
122905,,20,11/06/2019,,4,17,11/06/2019
122906,,20,24/07/2019,,15,22,25/07/2019
122907,,4,17/05/2019,,10,24,17/05/2019
122908,,20,23/02/2019,,6,13,23/02/2019
122909,,18,02/08/2019,,21,24,02/08/2019
122910,,13,19/06/2019,,11,17,19/06/2019
122911,,14,09/06/2019,,10,9,09/06/2019
122912,,12,19/04/2019,,5,0,19/04/2019
122913,,18,09/03/2019,,23,8,09/03/2019
122914,,15,07/04/2019,,21,3,07/04/2019
122915,,15,06/09/2019,,7,14,06/09/2019
122916,,11,12/07/2019,,20,22,12/07/2019
122917,,4,23/05/2019,,9,17,23/05/2019
122918,,22,21/01/2019,,16,7,22/01/2019
122919,,13,14/01/2019,,16,2,14/01/2019
122920,,20,31/01/2019,,19,7,01/02/2019
122921,,13,22/09/2019,,4,18,23/09/2019
122922,,18,09/12/2019,,2,21,09/12/2019
122923,,5,29/06/2019,,12,6,29/06/2019
122924,,14,29/09/2019,,2,15,29/09/2019
122925,,15,14/05/2019,,13,20,14/05/2019
122926,,13,07/04/2019,,14,21,07/04/2019
122927,,22,28/10/2019,,23,19,28/10/2019
122928,,12,02/08/2019,,20,24,03/08/2019
122929,,13,23/03/2019,,17,11,23/03/2019
122930,,11,12/06/2019,,22,23,13/06/2019
122931,,14,26/04/2019,,7,22,26/04/2019
122932,,13,12/08/2019,,2,15,13/08/2019
122933,,20,31/01/2019,,19,18,01/02/2019
122934,,12,24/07/2019,,21,21,25/07/2019
122935,,12,25/10/2019,,16,21,26/10/2019
122936,,17,11/02/2019,,6,15,11/02/2019
122937,,18,14/09/2019,,13,19,15/09/2019
122938,,4,24/06/2019,,6,22,25/06/2019
122939,,11,25/04/2019,,2,21,25/04/2019
122940,,17,19/02/2019,,12,21,20/02/2019
122941,,18,04/06/2019,,16,14,04/06/2019
122942,,14,03/03/2019,,8,24,04/03/2019
122943,,12,02/10/2019,,23,15,02/10/2019
122944,,13,22/12/2019,,0,23,23/12/2019
122945,,8,03/09/2019,,16,14,04/09/2019
122946,,12,01/09/2019,,17,24,02/09/2019
122947,,14,14/07/2019,,0,22,14/07/2019
122948,,22,28/06/2019,,5,22,28/06/2019
122949,,22,24/01/2019,,5,20,25/01/2019
122950,,17,10/01/2019,,15,12,11/01/2019
122951,,5,26/10/2019,,12,24,27/10/2019
122952,,11,26/12/2019,,14,21,26/12/2019
122953,,11,29/01/2019,,4,24,30/01/2019
122954,,12,31/01/2019,,2,13,31/01/2019
122955,,4,19/11/2019,,2,24,20/11/2019
122956,,11,05/05/2019,,16,20,05/05/2019
122957,,12,22/01/2019,,0,10,23/01/2019
122958,,14,15/03/2019,,16,12,16/03/2019
122959,,8,01/09/2019,,5,3,01/09/2019
122960,,8,02/09/2019,,3,21,02/09/2019
122961,,18,16/12/2019,,6,4,17/12/2019
122962,,15,19/03/2019,,1,23,20/03/2019
122963,,15,28/06/2019,,13,7,28/06/2019
122964,,20,30/10/2019,,0,21,31/10/2019
122965,,20,12/08/2019,,8,20,13/08/2019
122966,,11,03/01/2020,,9,24,04/01/2020
122967,,4,04/09/2019,,11,9,04/09/2019
122968,,14,01/09/2019,,14,20,02/09/2019
122969,,20,03/06/2019,,6,11,04/06/2019
122970,,14,08/08/2019,,11,20,08/08/2019
122971,,20,14/05/2019,,5,20,14/05/2019
122972,,4,17/03/2019,,13,21,17/03/2019
122973,,8,31/08/2019,,12,10,31/08/2019
122974,,14,14/06/2019,,18,17,14/06/2019
122975,,11,25/09/2019,,2,1,25/09/2019
122976,,5,20/05/2019,,15,22,20/05/2019
122977,,8,06/07/2019,,18,8,06/07/2019
122978,,15,06/01/2019,,1,21,06/01/2019
122979,,20,12/09/2019,,20,22,13/09/2019
122980,,17,23/11/2019,,18,21,23/11/2019
122981,,11,25/09/2019,,16,9,25/09/2019
122982,,20,27/04/2019,,9,15,27/04/2019
122983,,14,08/06/2019,,15,22,08/06/2019
122984,,4,27/08/2019,,3,12,28/08/2019
122985,,22,09/07/2019,,19,9,10/07/2019
122986,,14,20/04/2019,,4,21,20/04/2019
122987,,11,21/07/2019,,20,13,21/07/2019
122988,,8,03/03/2019,,7,17,03/03/2019
122989,,22,20/05/2019,,2,14,20/05/2019
122990,,5,05/07/2019,,11,20,06/07/2019
122991,,13,10/09/2019,,11,18,10/09/2019
122992,,17,01/04/2019,,18,21,02/04/2019
122993,,17,27/03/2019,,5,24,28/03/2019
122994,,14,03/07/2019,,11,18,04/07/2019
122995,,5,26/06/2019,,0,22,26/06/2019
122996,,4,26/04/2019,,9,23,26/04/2019
122997,,20,09/03/2019,,2,1,10/03/2019
122998,,22,15/03/2019,,14,13,16/03/2019
122999,,22,15/09/2019,,19,14,16/09/2019
123000,,14,09/09/2019,,1,20,09/09/2019
